day_index,date,assigned_class_id,nearest_distance,second_distance,margin,confidence_score,low_confidence_flag
1,2024-10-01,2,28.93111801147461,63.04623031616211,34.1151123046875,0.5411126613616943,False
2,2024-10-02,2,28.6275634765625,46.36882019042969,17.741256713867188,0.38261178135871887,False
3,2024-10-03,3,75.94270324707031,77.46244049072266,1.5197372436523438,0.01961902156472206,True
4,2024-10-04,2,61.57938003540039,64.1323013305664,2.5529212951660156,0.03980710729956627,True
5,2024-10-05,3,37.57096481323242,37.72647476196289,0.15550994873046875,0.004122037440538406,True
6,2024-10-06,2,51.62895965576172,63.397010803222656,11.768051147460938,0.18562470376491547,False
7,2024-10-07,2,21.234968185424805,62.055274963378906,40.82030487060547,0.6578055620193481,False
8,2024-10-08,2,26.636249542236328,69.00165557861328,42.36540603637695,0.6139766573905945,False
9,2024-10-09,2,37.86408615112305,79.33626556396484,41.4721794128418,0.5227392315864563,False
10,2024-10-10,2,83.1122055053711,112.32830810546875,29.216102600097656,0.26009562611579895,False
11,2024-10-11,2,42.91404342651367,80.01685333251953,37.10280990600586,0.4636874496936798,False
12,2024-10-12,2,42.289794921875,72.73877716064453,30.44898223876953,0.41860729455947876,False
13,2024-10-13,3,55.33639907836914,60.53778839111328,5.201389312744141,0.08591970801353455,False
14,2024-10-14,3,18.081838607788086,66.71690368652344,48.63506317138672,0.7289766073226929,False
15,2024-10-15,3,20.190210342407227,75.51788330078125,55.327674865722656,0.7326433658599854,False
16,2024-10-16,3,19.440547943115234,63.8769416809082,44.43639373779297,0.6956562399864197,False
17,2024-10-17,3,107.73408508300781,136.58761596679688,28.853530883789062,0.2112455815076828,False
18,2024-10-18,3,133.8984375,159.6991424560547,25.800704956054688,0.16155819594860077,False
19,2024-10-19,3,76.88433074951172,109.76580047607422,32.8814697265625,0.2995602488517761,False
20,2024-10-20,3,25.103559494018555,78.96247100830078,53.858909606933594,0.6820823550224304,False
21,2024-10-21,3,32.70909881591797,92.20357513427734,59.494476318359375,0.6452512741088867,False
22,2024-10-22,3,36.525390625,97.1361083984375,60.6107177734375,0.6239771842956543,False
23,2024-10-23,3,81.26819610595703,117.05883026123047,35.79063415527344,0.3057491183280945,False
24,2024-10-24,3,28.342906951904297,85.86082458496094,57.51791763305664,0.6698970794677734,False
25,2024-10-25,3,89.576171875,125.31597900390625,35.73980712890625,0.28519752621650696,False
26,2024-10-26,3,169.37673950195312,191.10452270507812,21.727783203125,0.11369580775499344,False
27,2024-10-27,3,144.44554138183594,157.5165557861328,13.071014404296875,0.08298184722661972,False
28,2024-10-28,2,114.8243408203125,123.88618469238281,9.061843872070312,0.0731465220451355,False
29,2024-10-29,2,80.3469467163086,105.60162353515625,25.254676818847656,0.23915046453475952,False
30,2024-10-30,2,60.06631851196289,90.98336029052734,30.917041778564453,0.3398098349571228,False
31,2024-10-31,2,43.91062927246094,81.05522918701172,37.14459991455078,0.4582628309726715,False
