date,class_label,day_index_370,predmodel,predmodel_exists,status,dss_returncode,runtime_seconds,sim_outputs,n_realizations,par_file,has_TEMPpred,has_STD,has_LAT,has_LON,has_BATHY,TEMPpred_valid_count,TEMPpred_nan_fraction,TEMPpred_all_nan,TEMPpred_min,TEMPpred_max,TEMPpred_mean,TEMPpred_std,TEMPpred_p05,TEMPpred_p50,TEMPpred_p95,TEMPpred_all_zero,STD_variance_valid_count,STD_variance_nan_fraction,STD_variance_all_nan,STD_variance_min,STD_variance_max,STD_variance_mean,STD_variance_std,STD_variance_p05,STD_variance_p50,STD_variance_p95,STD_variance_all_zero,TEMPpred_gradient_mean
2024-07-03,C01,250,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-03\python_dss_predModel_1_100real.nc,True,success,0,287.26,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-07-03\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,16.36935,19.033749999999998,17.998599044034624,0.5287097531862389,17.10559,18.020625000000003,18.866127499999997,False,26570,0.3849537037037037,False,0.003490133874999999,0.22976490007500006,0.059045179736677604,0.033403097433164775,0.019601886113150023,0.04893841669999997,0.12882881497779994,False,0.02812500186057805
2024-07-04,C01,251,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-04\python_dss_predModel_1_100real.nc,True,success,0,288.85,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-07-04\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,15.87675,19.03385,17.716501742566802,0.7634213081536995,16.43757,17.76265,18.9019,False,26570,0.3849537037037037,False,0.004342756999999999,0.24022840070000007,0.08517086168479356,0.046894704733653945,0.021814812440749967,0.07202016054199997,0.1715831061267501,False,0.035381460313218684
2024-06-18,C01,235,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-18\python_dss_predModel_1_100real.nc,True,success,0,306.76,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-06-18\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,16.235799999999998,18.084850000000003,17.32294152803914,0.4923855263422119,16.536450000000002,17.354750000000003,17.9401,False,26570,0.3849537037037037,False,0.010356124876000017,0.14857149853899998,0.06375103355938559,0.03201651531111609,0.021008643782,0.06629960479750001,0.11077367145659998,False,0.028185242953927617
2024-07-05,C01,252,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-05\python_dss_predModel_1_100real.nc,True,success,0,318.45,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-07-05\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,15.840399999999999,19.25285,17.788571550621,0.8582510863417631,16.40229,17.79065,19.095605,False,26570,0.3849537037037037,False,0.006598014104000013,0.24134102993099998,0.09219003076012394,0.04875285990594371,0.020252335329349985,0.08079765750800001,0.1758772712398001,False,0.037143758464141474
2024-07-26,C01,273,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-07-26\python_dss_predModel_1_100real.nc,True,success,0,290.13,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-07-26\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,17.3916,19.9047,18.638147643959353,0.5782192451399609,17.7384175,18.609299999999998,19.709137499999997,False,26570,0.3849537037037037,False,0.021622116874999982,0.1850555988240001,0.08187302715739518,0.031110707995691326,0.036271726183799965,0.0871192747155,0.12801438348700003,False,0.03462092678906491
2024-06-29,C01,246,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-29\python_dss_predModel_1_100real.nc,True,success,0,259.43,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-06-29\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,16.448549999999997,18.59795,17.75242425291682,0.51237481033843,16.89745,17.724225,18.5058775,False,26570,0.3849537037037037,False,0.003029426899,0.17314652397599992,0.05702454351838924,0.03497764294262791,0.009281413077249999,0.05492423177950001,0.11534479261194999,False,0.027174857222077315
2024-06-27,C01,244,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-27\python_dss_predModel_1_100real.nc,True,success,0,256.65,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-06-27\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,15.87355,18.37325,17.368662564922843,0.7202794973525639,16.21185,17.35655,18.3313,False,26570,0.3849537037037037,False,0.0019828865959999973,0.16273235253600013,0.06350039563673922,0.04003681442839844,0.008452074193650036,0.07567591154999997,0.11792500089139993,False,0.030404146679852664
2024-06-20,C01,237,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-20\python_dss_predModel_1_100real.nc,True,success,0,502.82,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-06-20\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,17.0197,18.3208,17.80256503575461,0.3027631336360674,17.2476225,17.94335,18.140727499999997,False,26570,0.3849537037037037,False,0.005537343816000006,0.11228069721900003,0.032355291549738506,0.019491417447575436,0.011191537479050004,0.026189190285500038,0.0694205757016,False,0.01900832367551178
2024-08-08,C01,286,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-08-08\python_dss_predModel_1_100real.nc,True,success,0,329.42,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-08-08\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,16.13975,19.17585,17.96198684230335,0.8361642112742255,16.524767500000003,18.167499999999997,18.989355,False,26570,0.3849537037037037,False,0.024326393051000008,0.3342525113039999,0.1461721917025379,0.05923468398571424,0.06846876948100004,0.1364701789995,0.246425992495,False,0.0453969422962708
2024-08-24,C01,302,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-08-24\python_dss_predModel_1_100real.nc,True,success,0,310.01,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-08-24\depth_01\ssdir.par,True,True,True,True,True,26570,0.3849537037037037,False,16.1582,19.039099999999998,17.760845893865262,0.6677469028076031,16.53043,17.92705,18.63525,False,26570,0.3849537037037037,False,0.04766368297899994,0.3178016229560002,0.1577064268079702,0.04201612397614282,0.09730382879064994,0.1530605404275,0.23004764044615003,False,0.04762342265491197
