date,day_index_370,step00_time_index,class_id,class_label,priority_rank,priority_score,representative_score,rmse,hres_window_end_date,hres_available,predmodel_path,predmodel_already_exists,generation_status
2023-12-22,56,55,6,C06,8,0.4959135223180055,1.0,0.0752358958125114,2023-12-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-22\python_dss_predModel_1_100real.nc,False,pending
2023-12-17,51,50,6,C06,16,0.4676932441377578,0.8871188872790092,0.1269198507070541,2023-12-16,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-17\python_dss_predModel_1_100real.nc,False,pending
2024-05-26,212,211,6,C06,17,0.4676684529052394,0.8870197223489356,0.1269652545452118,2024-05-25,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-05-26\python_dss_predModel_1_100real.nc,False,pending
2024-05-22,208,207,6,C06,18,0.466449256377776,0.8821429362390818,0.1291981488466262,2024-05-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-05-22\python_dss_predModel_1_100real.nc,False,pending
2023-12-21,55,54,6,C06,19,0.4632052743782774,0.8691670082410873,0.1351393312215805,2023-12-20,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-21\python_dss_predModel_1_100real.nc,False,pending
2023-12-16,50,49,6,C06,20,0.4614908064672042,0.8623091365967945,0.1382792890071869,2023-12-15,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-16\python_dss_predModel_1_100real.nc,False,pending
2024-06-15,232,231,6,C06,21,0.4602510821157684,0.8573502391910511,0.1405497789382934,2024-06-14,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-15\python_dss_predModel_1_100real.nc,False,pending
2023-12-18,52,51,6,C06,22,0.4586647117316952,0.8510047576547588,0.1434551328420639,2023-12-17,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-18\python_dss_predModel_1_100real.nc,False,pending
2023-12-19,53,52,6,C06,24,0.4557593045791895,0.839383129044736,0.1487762331962585,2023-12-18,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-19\python_dss_predModel_1_100real.nc,False,pending
2024-06-12,229,228,6,C06,26,0.4484757673911935,0.8102489802927519,0.1621156483888626,2024-06-11,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-12\python_dss_predModel_1_100real.nc,False,pending
