date,status,predmodel,dss_returncode,runtime_seconds,sim_outputs,n_realizations,par_file
2023-12-22,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-22\python_dss_predModel_1_100real.nc,0,314.41,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2023-12-22\depth_01\ssdir.par
2023-12-17,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-17\python_dss_predModel_1_100real.nc,0,304.69,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2023-12-17\depth_01\ssdir.par
2024-05-26,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-05-26\python_dss_predModel_1_100real.nc,0,442.65,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-05-26\depth_01\ssdir.par
2024-05-22,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-05-22\python_dss_predModel_1_100real.nc,0,577.02,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-05-22\depth_01\ssdir.par
2023-12-21,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-21\python_dss_predModel_1_100real.nc,0,483.2,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2023-12-21\depth_01\ssdir.par
2023-12-16,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-16\python_dss_predModel_1_100real.nc,0,252.13,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2023-12-16\depth_01\ssdir.par
2024-06-15,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-15\python_dss_predModel_1_100real.nc,0,266.48,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-06-15\depth_01\ssdir.par
2023-12-18,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-18\python_dss_predModel_1_100real.nc,0,282.03,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2023-12-18\depth_01\ssdir.par
2023-12-19,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2023-12-19\python_dss_predModel_1_100real.nc,0,249.58,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2023-12-19\depth_01\ssdir.par
2024-06-12,success,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\predmodels\2024-06-12\python_dss_predModel_1_100real.nc,0,248.85,100,100,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_top20_class01_class06_python_dss_20260516_170704\dss_inputs\2024-06-12\depth_01\ssdir.par
