patch_w,patch_h,requested_runs,executed_runs,reduced_seed_count,patches_per_image,total_patches,patch_vector_length,mean_icv_mean,mean_icv_std,std_icv_mean,std_icv_std,min_class_size_mean,min_class_size_min,mean_class_size_mean,max_class_size_mean,runtime_mean_seconds,runtime_std_seconds
16,16,5,5,False,4753,1425900,256,9109.012969970703,0.0,5075.799967790537,0.0,26.0,26,75.0,149.0,341.7435481200009,17.139980716506866
24,16,5,5,False,4361,1308300,384,6034.187026977539,0.0,5988.781158044668,0.0,18.0,18,75.0,152.0,311.26675785999976,19.31238870424146
32,20,5,5,False,3645,1093500,640,3664.479690551758,0.0,3488.230141730356,0.0,35.0,35,75.0,99.0,278.7311228400009,0.8603293298030699
40,24,5,5,False,2993,897900,960,5636.534637451172,0.0,5599.239775672167,0.0,32.0,32,75.0,132.0,243.9890802399983,1.2346479011576323
48,32,5,5,False,2145,643500,1536,3647.1157302856445,0.0,5044.095513425827,0.0,16.0,16,75.0,106.0,221.36064746000193,16.255511828241694
56,32,5,5,False,1881,564300,1792,5392.134201049805,0.0,6430.977249811107,0.0,19.0,19,75.0,168.0,224.6275045000002,12.89741846058118
64,36,5,5,False,1421,426300,2304,3989.7650146484375,0.0,4989.64841441733,0.0,33.0,33,75.0,108.0,193.08973176,6.546832958239903
72,40,5,5,False,1025,307500,2880,4026.004815673828,265.92785078462566,4026.0846625130494,82.37005576074142,21.0,21,75.0,131.6,156.01869271999894,10.366542987865708
80,44,5,5,False,693,207900,3520,6561.744897460938,8.441982311549877,5391.557308444325,6.176497039548178,54.0,54,75.0,90.4,99.7838271000015,6.230137832449646
