patch_w,patch_h,patch_label,seeds,mean_icv_values,mean_icv_min,mean_icv_max,absolute_spread,relative_spread,relative_spread_pct,spread_classification
16,16,16x16,"11,23,37,53,71",9109.012969970703|9109.012969970703|9109.012969970703|9109.012969970703|9109.012969970703,9109.012969970703,9109.012969970703,0.0,0.0,0.0,numerically_zero_or_negligible
24,16,24x16,"11,23,37,53,71",6034.187026977539|6034.187026977539|6034.187026977539|6034.187026977539|6034.187026977539,6034.187026977539,6034.187026977539,0.0,0.0,0.0,numerically_zero_or_negligible
32,20,32x20,"11,23,37,53,71",3664.479690551758|3664.479690551758|3664.479690551758|3664.479690551758|3664.479690551758,3664.479690551758,3664.479690551758,0.0,0.0,0.0,numerically_zero_or_negligible
40,24,40x24,"11,23,37,53,71",5636.534637451172|5636.534637451172|5636.534637451172|5636.534637451172|5636.534637451172,5636.534637451172,5636.534637451172,0.0,0.0,0.0,numerically_zero_or_negligible
48,32,48x32,"11,23,37,53,71",3647.115730285645|3647.115730285645|3647.115730285645|3647.115730285645|3647.115730285645,3647.115730285645,3647.115730285645,0.0,0.0,0.0,numerically_zero_or_negligible
56,32,56x32,"11,23,37,53,71",5392.134201049805|5392.134201049805|5392.134201049805|5392.134201049805|5392.134201049805,5392.134201049805,5392.134201049805,0.0,0.0,0.0,numerically_zero_or_negligible
64,36,64x36,"11,23,37,53,71",3989.765014648438|3989.765014648438|3989.765014648438|3989.765014648438|3989.765014648438,3989.7650146484375,3989.7650146484375,0.0,0.0,0.0,numerically_zero_or_negligible
72,40,72x40,"11,23,37,53,71",4144.931365966797|4144.931365966797|4144.931365966797|3550.298614501953|4144.931365966797,3550.298614501953,4144.931365966797,594.6327514648438,0.1476979732239393,14.769797322393929,meaningful
80,44,80x44,"11,23,37,53,71",6557.969528198242|6557.969528198242|6557.969528198242|6557.969528198242|6576.846374511719,6557.969528198242,6576.846374511719,18.876846313476562,0.002876802833462932,0.2876802833462932,small_but_nonzero
