class_id,cv_regime_label,cv_regime_label_raw,qualitative_regime_label,gradient_mean,boundary_score,heterogeneity_score,cold_fraction,warm_fraction,interest_mean
1,multi_regime,multi_regime,frontal,0.0650407075881958,0.6620786190032959,0.1263272613286972,0.20839580209895053,0.29160419790104947,0.3180355727672577
2,homogeneous,single_gradient,warm_homogeneous,0.026729779317975044,0.0,0.18493686616420746,0.0,0.0,0.06663507223129272
3,homogeneous,homogeneous,warm_homogeneous,0.025039389729499817,0.0,0.0996498093008995,0.0,0.0,0.04573621228337288
4,homogeneous,homogeneous,cold_homogeneous,0.018273385241627693,0.0,0.12616482377052307,0.0,0.0,0.03998003900051117
5,homogeneous,single_gradient,cold_homogeneous,0.0388387106359005,0.0,0.1277330219745636,0.0,0.0,0.04530315101146698
6,multi_regime,multi_regime,mixed,0.03211874142289162,0.5384505987167358,0.10784207284450531,0.1962768615692154,0.30372313843078463,0.22592277824878693
