run_id,case_id,strategy,run_kind,status,run_dir,input_nc
C01_representative__2auv_12h__multi_baseline_STD,C01_representative,multi_baseline_STD,native_2auv_shared_map,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__2auv_12h__multi_baseline_STD,
C01_representative__2auv_12h__multi_boundary_alpha050,C01_representative,multi_boundary_alpha050,native_2auv_shared_map,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__2auv_12h__multi_boundary_alpha050,
C01_representative__1auv_12h__candidate_region_A,C01_representative,candidate_region_A,1auv_candidate,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__candidate_region_A,
C01_representative__1auv_12h__candidate_region_B,C01_representative,candidate_region_B,1auv_candidate,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__candidate_region_B,
C01_representative__1auv_12h__candidate_region_A_with_crossing,C01_representative,candidate_region_A_with_crossing,1auv_candidate,SUCCESS,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__d1ce4e5339,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__1auv_12h__d1ce4e5339_planner_interface.nc
C01_representative__1auv_12h__candidate_region_B_with_crossing,C01_representative,candidate_region_B_with_crossing,1auv_candidate,SUCCESS,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__602a4e0b50,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__1auv_12h__602a4e0b50_planner_interface.nc
C01_representative__1auv_12h__candidate_region_B_sequential_penalized,C01_representative,candidate_region_B_sequential_penalized,1auv_candidate_sequential,SUCCESS,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_runs\C01_representative__1auv_12h__31b14503e7,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__1auv_12h__31b14503e7_planner_interface.nc
C01_representative__2auv_12h__vehicle_specific_regime_maps,C01_representative,vehicle_specific_regime_maps,post_solver_proxy_pair,POST_SOLVER_PROXY,,
C01_representative__2auv_12h__vehicle_specific_with_crossing_proxy,C01_representative,vehicle_specific_with_crossing_proxy,post_solver_proxy_pair,POST_SOLVER_PROXY,,
C01_representative__2auv_12h__sequential_overlap_reduction,C01_representative,sequential_overlap_reduction,post_solver_proxy_pair,POST_SOLVER_PROXY,,
C01_representative__2auv_12h__post_solver_selected_pair,C01_representative,post_solver_selected_pair,post_solver_selected_pair,POST_SOLVER_PROXY,,
