run_id,strategy,case_id,inter_vehicle_min_distance,inter_vehicle_mean_distance,trajectory_overlap_ratio,duplicate_sampled_cells,shared_top10_cells,decrease_overlap
C01_representative__2auv_12h__multi_baseline_STD,multi_baseline_STD,C01_representative,1.0,12.88916423731386,0.0,0,0,0.0
C01_representative__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,C01_representative,1.0,12.442308432713817,0.0,0,0,0.0
C01_representative__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,C01_representative,0.0,19.49782583990364,0.016181229773462782,5,0,-0.016181229773462782
C01_representative__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,C01_representative,0.0,12.066040201831687,0.01,3,0,-0.01
C01_representative__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,C01_representative,0.0,20.02664363532462,0.02287581699346405,7,1,-0.02287581699346405
C01_representative__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,C01_representative,0.0,12.7451116992823,0.02258064516129032,7,2,-0.02258064516129032
