case_id,candidate_AUV1,candidate_AUV2,pair_score,run_id,strategy,fleet_collected_STD,fleet_collected_boundary,inter_vehicle_min_distance,inter_vehicle_mean_distance,trajectory_overlap_ratio,duplicate_sampled_cells,shared_top10_cells,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,fleet_total_area_covered,fleet_complementarity_score,proximity_penalty,increase_region_coverage,decrease_overlap,change_in_STD_collected,change_in_boundary_collected
C01_representative,region_B,baseline_STD,1.409691067505007,pair_tmp,post_solver_selected_pair,185.28874969482422,218.23204040527344,0.0,12.7451116992823,0.02258064516129032,7,2,0.04737646459500764,0.030407062285434036,0.07778352688044168,310,0.5276014408595757,0.21712989947875636,0.07778352688044168,0.0,0.0,0.0
C01_representative,region_A,region_B,1.4096413369136667,pair_tmp,post_solver_selected_pair,183.9426727294922,219.4892578125,0.0,19.49782583990364,0.016181229773462782,5,0,0.046612328069281714,0.03089749877390878,0.0775098268431905,309,0.5306642985348639,0.16495464933192172,0.0775098268431905,0.0,0.0,0.0
C01_representative,region_B,region_A,1.4092609696445129,pair_tmp,post_solver_selected_pair,183.9426727294922,219.4892578125,0.0,18.024985875957928,0.016181229773462782,5,0,0.046612328069281714,0.03089749877390878,0.0775098268431905,309,0.5306642985348639,0.167490431126281,0.0775098268431905,0.0,0.0,0.0
C01_representative,baseline_STD,region_B,1.4073059750937191,pair_tmp,post_solver_selected_pair,185.28874969482422,218.23204040527344,0.0,14.031606820445733,0.02258064516129032,7,2,0.04737646459500764,0.030407062285434036,0.07778352688044168,310,0.5276014408595757,0.23303051555400892,0.07778352688044168,0.0,0.0,0.0
C01_representative,region_A,region_B_sequential_penalized,1.3881239712742177,pair_tmp,post_solver_selected_pair,183.45880126953125,223.88465118408203,0.0,20.02664363532462,0.02287581699346405,7,1,0.049414161996943456,0.02746444335458558,0.07687860535152904,306,0.5270013941790325,0.14889391889931075,0.07687860535152904,0.0,0.0,0.0
C01_representative,region_B_sequential_penalized,region_A,1.387826110602663,pair_tmp,post_solver_selected_pair,183.45880126953125,223.88465118408203,0.0,16.648210025877738,0.02287581699346405,7,1,0.049414161996943456,0.02746444335458558,0.07687860535152904,306,0.5270013941790325,0.15087965670967468,0.07687860535152904,0.0,0.0,0.0
C01_representative,region_B_sequential_penalized,baseline_STD,1.3876077097401427,pair_tmp,post_solver_selected_pair,184.80487823486328,222.62743377685547,0.0,11.740010373683054,0.022653721682847898,7,3,0.05068772287315334,0.026974006866110838,0.07766172973926418,309,0.5275040040282082,0.21587830104632008,0.07766172973926418,0.0,0.0,0.0
C01_representative,baseline_STD,region_B_sequential_penalized,1.3862990970636901,pair_tmp,post_solver_selected_pair,184.80487823486328,222.62743377685547,0.0,14.297461308995437,0.022653721682847898,7,3,0.05068772287315334,0.026974006866110838,0.07766172973926418,309,0.5275040040282082,0.2246023855560036,0.07766172973926418,0.0,0.0,0.0
C01_representative,region_B,boundary_alpha050,1.385768220140166,pair_tmp,post_solver_selected_pair,184.28713989257812,232.90335083007812,0.0,22.670782209599608,0.0189873417721519,6,2,0.04228222109016811,0.03678273663560569,0.0790649577257738,316,0.5300388079768109,0.1207761019714324,0.0790649577257738,0.0,0.0,0.0
C01_representative,region_B_with_crossing,baseline_STD,1.3817502642072876,pair_tmp,post_solver_selected_pair,183.04773712158203,225.7418212890625,0.0,8.810196276549505,0.026058631921824105,8,2,0.048395313295975545,0.028690534575772437,0.07708584787174798,307,0.5255136079749619,0.2810406369234565,0.07708584787174798,0.0,0.0,0.0
