z,filepath,mean_norm,std_norm,min_norm,max_norm
1,results/fossum/pngs_normalized_surface_300/X_surface_norm_z001.png,-0.5326156616210938,0.17274373769760132,-0.8880988359451294,-0.20525135099887848
2,results/fossum/pngs_normalized_surface_300/X_surface_norm_z002.png,-0.5187473893165588,0.1436234414577484,-0.8709280490875244,-0.20822003483772278
3,results/fossum/pngs_normalized_surface_300/X_surface_norm_z003.png,-0.5140179991722107,0.15264084935188293,-0.8981155157089233,-0.1525539755821228
4,results/fossum/pngs_normalized_surface_300/X_surface_norm_z004.png,-0.5799225568771362,0.1523101031780243,-0.9129533171653748,-0.3358834683895111
5,results/fossum/pngs_normalized_surface_300/X_surface_norm_z005.png,-0.7313981652259827,0.21308554708957672,-1.0959224700927734,-0.4474109709262848
6,results/fossum/pngs_normalized_surface_300/X_surface_norm_z006.png,-0.8444057703018188,0.2758086323738098,-1.344568133354187,-0.4368259012699127
7,results/fossum/pngs_normalized_surface_300/X_surface_norm_z007.png,-0.8749425411224365,0.25324928760528564,-1.3289813995361328,-0.47245296835899353
8,results/fossum/pngs_normalized_surface_300/X_surface_norm_z008.png,-0.8577380180358887,0.2074066549539566,-1.262922763824463,-0.541633129119873
9,results/fossum/pngs_normalized_surface_300/X_surface_norm_z009.png,-0.8425024151802063,0.18686529994010925,-1.282220721244812,-0.40862125158309937
10,results/fossum/pngs_normalized_surface_300/X_surface_norm_z010.png,-0.8470026254653931,0.2103303074836731,-1.314879059791565,-0.20450952649116516
11,results/fossum/pngs_normalized_surface_300/X_surface_norm_z011.png,-0.7948702573776245,0.21185943484306335,-1.232311487197876,-0.267598032951355
12,results/fossum/pngs_normalized_surface_300/X_surface_norm_z012.png,-0.6664625406265259,0.1426127851009369,-0.9088817834854126,-0.2416202425956726
13,results/fossum/pngs_normalized_surface_300/X_surface_norm_z013.png,-0.5732844471931458,0.2126849889755249,-0.8682262301445007,-0.01078891847282648
14,results/fossum/pngs_normalized_surface_300/X_surface_norm_z014.png,-0.4867120385169983,0.2641088664531708,-0.8962036371231079,0.08495795726776123
15,results/fossum/pngs_normalized_surface_300/X_surface_norm_z015.png,-0.4152981638908386,0.23064899444580078,-0.8633244037628174,0.002570879878476262
16,results/fossum/pngs_normalized_surface_300/X_surface_norm_z016.png,-0.37377431988716125,0.19917824864387512,-0.8364236354827881,-0.06274447590112686
17,results/fossum/pngs_normalized_surface_300/X_surface_norm_z017.png,-0.32955458760261536,0.19970445334911346,-0.8036456108093262,-0.05309518426656723
18,results/fossum/pngs_normalized_surface_300/X_surface_norm_z018.png,-0.41886359453201294,0.21561506390571594,-0.8215794563293457,-0.1269032210111618
