step,output_path,case_id,figure_name,trajectory_file,map_shape,coordinate_type,path_points_total,path_points_inside_valid_mask,path_points_inside_fraction,path_bbox,map_bbox,suspected_x_y_swap,suspected_origin_flip,suspected_extent_mismatch,verdict
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__boundary_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",23,23,1.0,"rows[8,42], cols[50,95]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__gradient_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",26,26,1.0,"rows[11,39], cols[50,98]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__gradient_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",25,25,1.0,"rows[11,42], cols[51,102]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__heterogeneity_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",25,25,1.0,"rows[11,36], cols[50,100]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__heterogeneity_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",26,26,1.0,"rows[11,26], cols[50,108]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__interest_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",23,23,1.0,"rows[11,44], cols[51,99]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__interest_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",25,25,1.0,"rows[15,42], cols[50,98]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__representative_zone_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",27,27,1.0,"rows[8,45], cols[46,88]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,C06_representative,step11b_C06_representative_descriptor_trajectories_panel.png; step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; figures/step11b_C06_representative_descriptor_trajectories_panel.png,planner_runs/C06_representative__representative_zone_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",28,28,1.0,"rows[13,60], cols[45,71]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__baseline_STD/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",25,25,1.0,"rows[15,62], cols[17,51]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
