step,output_path,case_id,figure_name,trajectory_file,map_shape,coordinate_type,path_points_total,path_points_inside_valid_mask,path_points_inside_fraction,path_bbox,map_bbox,suspected_x_y_swap,suspected_origin_flip,suspected_extent_mismatch,verdict
Step11C,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,baseline_vs_boundary_vs_crossing_overlay.png; crossing_metrics_barplot.png; region_A_B_boundary_masks.png; trajectory_over_boundary.png,planner_runs/C01_representative__1auv_12h__baseline_STD/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",27,27,1.0,"rows[12,43], cols[32,75]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11C,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,baseline_vs_boundary_vs_crossing_overlay.png; crossing_metrics_barplot.png; region_A_B_boundary_masks.png; trajectory_over_boundary.png,planner_runs/C01_representative__1auv_12h__boundary_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",28,28,1.0,"rows[6,48], cols[47,79]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11C,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,baseline_vs_boundary_vs_crossing_overlay.png; crossing_metrics_barplot.png; region_A_B_boundary_masks.png; trajectory_over_boundary.png,planner_runs/C01_representative__1auv_12h__crossing_gamma025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",27,27,1.0,"rows[3,47], cols[41,79]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11C,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,baseline_vs_boundary_vs_crossing_overlay.png; crossing_metrics_barplot.png; region_A_B_boundary_masks.png; trajectory_over_boundary.png,planner_runs/C01_representative__1auv_12h__crossing_gamma050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",29,29,1.0,"rows[5,48], cols[51,79]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11C,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,baseline_vs_boundary_vs_crossing_overlay.png; crossing_metrics_barplot.png; region_A_B_boundary_masks.png; trajectory_over_boundary.png,planner_runs/C01_representative__1auv_6h__baseline_STD_6h/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",14,14,1.0,"rows[3,26], cols[41,60]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11C,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,baseline_vs_boundary_vs_crossing_overlay.png; crossing_metrics_barplot.png; region_A_B_boundary_masks.png; trajectory_over_boundary.png,planner_runs/C01_representative__1auv_6h__boundary_alpha050_6h/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",14,14,1.0,"rows[1,21], cols[41,58]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11C,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322,C01_representative,baseline_vs_boundary_vs_crossing_overlay.png; crossing_metrics_barplot.png; region_A_B_boundary_masks.png; trajectory_over_boundary.png,planner_runs/C01_representative__1auv_6h__crossing_gamma050_6h/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",16,16,1.0,"rows[5,29], cols[48,62]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11D,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_all_strategies_comparison_panel.png; step11d_inter_vehicle_distance_plot.png; step11d_multi_baseline_STD_overlay.png; step11d_multi_boundary_alpha050_overlay.png,planner_runs/C01_representative__1auv_12h__31b14503e7/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",27,27,1.0,"rows[0,34], cols[8,51]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11D,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_all_strategies_comparison_panel.png; step11d_inter_vehicle_distance_plot.png; step11d_multi_baseline_STD_overlay.png; step11d_multi_boundary_alpha050_overlay.png,planner_runs/C01_representative__1auv_12h__602a4e0b50/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",28,28,1.0,"rows[3,49], cols[21,53]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11D,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_all_strategies_comparison_panel.png; step11d_inter_vehicle_distance_plot.png; step11d_multi_baseline_STD_overlay.png; step11d_multi_boundary_alpha050_overlay.png,planner_runs/C01_representative__1auv_12h__candidate_region_A/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",30,30,1.0,"rows[13,48], cols[41,79]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11D,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_all_strategies_comparison_panel.png; step11d_inter_vehicle_distance_plot.png; step11d_multi_baseline_STD_overlay.png; step11d_multi_boundary_alpha050_overlay.png,planner_runs/C01_representative__1auv_12h__candidate_region_B/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",26,26,1.0,"rows[2,31], cols[2,51]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11D,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_all_strategies_comparison_panel.png; step11d_inter_vehicle_distance_plot.png; step11d_multi_baseline_STD_overlay.png; step11d_multi_boundary_alpha050_overlay.png,planner_runs/C01_representative__1auv_12h__d1ce4e5339/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",27,27,1.0,"rows[6,46], cols[45,84]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11D,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_all_strategies_comparison_panel.png; step11d_inter_vehicle_distance_plot.png; step11d_multi_baseline_STD_overlay.png; step11d_multi_boundary_alpha050_overlay.png,planner_runs/C01_representative__2auv_12h__multi_baseline_STD/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",56,56,1.0,"rows[0,47], cols[25,85]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11D,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809,C01_representative,step11d_all_strategies_comparison_panel.png; step11d_inter_vehicle_distance_plot.png; step11d_multi_baseline_STD_overlay.png; step11d_multi_boundary_alpha050_overlay.png,planner_runs/C01_representative__2auv_12h__multi_boundary_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",50,50,1.0,"rows[0,49], cols[27,82]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
