image_idx_0_based,image_z_1_based
4,5
5,6
6,7
7,8
8,9
9,10
10,11
19,20
20,21
55,56
56,57
57,58
74,75
75,76
76,77
77,78
78,79
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
105,106
106,107
114,115
115,116
116,117
117,118
119,120
120,121
121,122
122,123
147,148
148,149
149,150
154,155
155,156
158,159
159,160
160,161
169,170
180,181
181,182
205,206
247,248
248,249
