image_idx_0_based,image_z_1_based
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
19,20
20,21
30,31
31,32
53,54
54,55
55,56
96,97
101,102
105,106
106,107
114,115
122,123
123,124
147,148
148,149
149,150
154,155
155,156
157,158
158,159
161,162
169,170
178,179
179,180
180,181
182,183
235,236
241,242
242,243
243,244
244,245
247,248
248,249
254,255
255,256
256,257
261,262
