slice,min,max,mean,std,finite_fraction,zero_fraction_all,zero_fraction_finite,p01,p05,p50,p95,p99
day=0,0.0,0.000716,2.3765268189060008e-08,4.124968755687111e-06,0.6974074074074074,0.6973842592592593,0.9999668082846522,0.0,0.0,0.0,0.0,0.0
day=1,0.004632,0.117726,0.04858696003717473,0.016968309604132353,0.6974074074074074,0.0,0.0,0.01034127,0.017536300000000005,0.049321,0.07562609999999997,0.08694840999999999
day1-day0,0.004632,0.117726,0.048586936271906536,0.016968367412397548,0.6974074074074074,0.0,0.0,0.01034127,0.017536300000000005,0.049321,0.07562609999999997,0.08694840999999999
